[tileset]
img=images/tilesets/tileset_ruins.png
tile=24,1152,596,192,104,96,56
tile=25,1344,596,192,104,96,56
tile=26,1536,627,192,104,96,56
tile=27,576,806,192,102,96,54
tile=28,1152,700,192,104,96,56
tile=29,960,701,192,104,96,56
tile=30,384,810,192,102,96,54
tile=31,960,491,192,105,96,57
tile=32,960,909,192,97,96,49
tile=33,1344,384,192,106,96,58
tile=34,960,1006,192,97,96,49
tile=35,768,1008,192,97,96,49
tile=36,576,1009,192,97,96,49
tile=37,1152,491,192,105,96,57
tile=38,960,596,192,105,96,57
tile=39,576,597,192,105,96,57
tile=40,1344,700,192,104,96,56
tile=41,1344,490,192,106,96,58
tile=42,1536,731,192,104,96,56
tile=43,1782,943,192,104,96,56
tile=44,384,1013,192,97,96,49
tile=45,192,1094,192,97,96,49
tile=46,0,1099,192,97,96,49
tile=47,1152,804,192,104,96,56
tile=48,1692,2457,112,68,16,20
tile=49,2374,1380,111,66,96,18
tile=50,2374,2942,111,65,96,58
tile=51,184,3363,111,66,15,59
tile=52,2374,3007,110,67,14,19
tile=53,1954,3622,110,66,96,18
tile=54,2203,3664,109,62,96,58
tile=55,2064,3603,110,64,14,59
tile=56,1152,1303,192,68,96,20
tile=57,2374,1274,111,106,96,58
tile=58,1344,1303,192,66,96,59
tile=59,2374,1167,111,107,15,59
tile=60,1728,786,29,24,15,-20
tile=61,1728,810,28,24,96,21
tile=62,1756,811,28,21,14,63
tile=63,1757,786,28,25,-68,21
tile=64,1344,804,192,104,96,56
tile=65,384,601,192,105,96,57
tile=66,192,891,192,102,96,54
tile=67,1152,1012,192,97,96,49
tile=68,0,896,192,102,96,54
tile=69,576,908,192,101,96,53
tile=70,960,1103,192,97,96,49
tile=71,1536,835,192,104,96,56
tile=72,1536,521,192,106,96,58
tile=73,576,491,192,106,96,58
tile=74,192,682,192,105,96,57
tile=75,0,687,192,105,96,57
tile=76,576,702,192,104,96,56
tile=77,384,495,192,106,96,58
tile=78,384,706,192,104,96,56
tile=79,0,452,192,129,96,81
tile=80,768,1105,192,97,96,49
tile=81,576,1106,192,97,96,49
tile=82,384,1110,192,97,96,49
tile=83,192,1191,192,97,96,49
tile=84,192,787,192,104,96,56
tile=85,0,1196,192,97,96,49
tile=86,1344,1012,192,97,96,49
tile=88,192,576,192,106,96,58
tile=89,576,384,192,107,96,59
tile=90,1536,1042,192,97,96,49
tile=91,1728,1047,192,97,96,49
tile=92,0,581,192,106,96,58
tile=93,768,384,192,107,96,59
tile=94,1152,1109,192,97,96,49
tile=95,960,1200,192,97,96,49
tile=96,960,384,192,107,96,59
tile=97,1152,384,192,107,96,59
tile=98,768,491,192,106,96,58
tile=99,768,1202,192,97,96,49
tile=100,576,1203,192,97,96,49
tile=101,384,384,192,111,96,63
tile=102,384,1207,192,97,96,49
tile=103,192,1288,192,97,96,49
tile=104,0,1293,192,97,96,49
tile=105,1344,1109,192,97,96,49
tile=106,1536,1139,192,97,96,49
tile=107,1728,1144,192,97,96,49
tile=108,1920,1214,192,97,96,49
tile=109,1152,1206,192,97,96,49
tile=110,960,1297,192,97,96,49
tile=111,768,1299,192,97,96,49
tile=112,576,1300,192,97,96,49
tile=113,384,1304,192,97,96,49
tile=114,192,1385,192,97,96,49
tile=115,0,1390,192,97,96,49
tile=116,1344,1206,192,97,96,49
tile=117,1536,1236,192,97,96,49
tile=118,1728,1241,192,97,96,49
tile=119,1920,1311,192,97,96,49
tile=120,2214,2555,176,94,88,46
tile=121,2214,2649,176,94,88,46
tile=122,2002,0,192,367,96,48
tile=123,2386,0,96,367,96,48
tile=124,2386,367,96,367,0,48
tile=136,192,1482,190,283,96,237
tile=137,1334,1936,190,280,94,234
tile=138,2103,1976,190,275,94,227
tile=139,2293,2005,190,275,96,227
tile=140,0,2052,190,281,96,235
tile=141,190,1765,190,282,94,236
tile=142,1524,2181,190,275,94,227
tile=143,1714,2182,190,275,96,227
tile=144,570,2523,188,275,94,238
tile=145,1319,2507,178,273,82,227
tile=146,1141,2216,188,262,94,214
tile=147,1128,2746,178,273,96,227
tile=148,1798,662,192,281,96,235
tile=149,576,1397,190,286,94,238
tile=150,1990,939,192,275,96,227
tile=151,384,1401,190,284,96,236
tile=152,1018,3331,174,255,83,216
tile=153,384,912,192,101,96,235
tile=154,0,792,192,104,96,238
tile=155,768,702,192,104,96,237
tile=156,768,908,192,100,96,235
tile=157,960,1394,191,103,95,237
tile=158,768,1396,191,99,95,234
tile=159,192,993,192,101,96,236
tile=160,960,805,192,104,96,237
tile=161,1152,908,192,104,96,238
tile=162,1536,939,192,103,96,236
tile=163,768,597,192,105,96,237
tile=164,1344,908,192,104,96,239
tile=165,0,998,192,101,96,235
tile=166,768,806,192,102,96,235
tile=168,0,1487,190,283,96,237
tile=169,2107,1416,190,280,94,234
tile=170,1146,1654,190,281,96,235
tile=171,0,1770,190,282,94,236
tile=172,1904,2248,190,275,94,227
tile=173,2094,2251,190,275,96,227
tile=174,1727,1338,190,283,96,237
tile=175,1915,1689,190,280,94,234
tile=176,2185,874,192,281,96,235
tile=177,956,1497,190,282,94,236
tile=178,954,1779,190,281,96,235
tile=179,1535,1617,190,283,94,237
tile=180,2284,2280,190,275,94,227
tile=181,762,2060,190,275,96,227
tile=182,2297,1446,188,279,94,237
tile=183,0,2883,184,273,88,227
tile=184,375,3059,184,273,96,227
tile=185,315,3605,177,257,86,216
tile=186,1299,3118,174,208,83,173
tile=187,2214,2743,174,134,86,93
tile=188,1804,2457,84,45,25,29
tile=189,1497,2710,125,70,59,50
tile=190,2174,3602,119,62,64,46
tile=191,2203,3726,107,62,23,54
tile=192,2368,3074,114,63,85,56
tile=193,1851,3622,103,72,22,58
tile=194,2377,1102,107,65,72,61
tile=195,764,1778,190,282,96,236
tile=196,1144,1935,190,281,94,235
tile=197,570,2248,190,275,94,227
tile=198,380,2250,190,275,96,227
tile=199,1343,1653,190,283,96,237
tile=200,572,1966,190,282,94,236
tile=201,380,2525,188,275,94,238
tile=202,946,2853,178,273,82,227
tile=203,948,2380,188,262,94,214
tile=204,756,2876,178,273,96,227
tile=205,190,2604,188,275,94,238
tile=206,559,3060,178,273,82,227
tile=207,758,2614,188,262,94,214
tile=208,368,3332,178,273,96,227
tile=209,0,2608,188,275,94,238
tile=210,1251,3585,178,273,82,227
tile=211,568,2798,188,262,94,214
tile=212,1429,3580,178,273,96,227
tile=213,380,1968,190,282,96,236
tile=214,766,1495,190,283,94,237
tile=215,1917,1408,190,281,96,235
tile=216,574,1683,190,283,94,237
tile=217,190,2329,190,275,94,227
tile=218,0,2333,190,275,96,227
tile=219,760,2335,188,279,94,237
tile=220,184,3090,184,273,88,227
tile=221,378,2800,188,259,94,211
tile=222,0,3156,184,273,96,227
tile=223,1192,3331,174,254,83,216
tile=224,1366,3326,174,254,83,216
tile=225,1692,2526,174,254,83,216
tile=226,1540,3313,174,254,83,216
tile=227,1866,2526,174,254,83,216
tile=228,1714,3301,174,254,83,216
tile=229,2040,2526,174,254,83,216
tile=230,981,3601,174,256,83,216
tile=231,492,3605,177,257,86,216
tile=232,804,3601,177,257,86,216
tile=233,1512,2456,180,254,89,216
tile=234,1125,3118,174,213,83,173
tile=235,1723,1902,190,280,96,234
tile=236,190,2047,190,282,94,236
tile=237,1152,1371,191,283,95,237
tile=238,1913,1969,190,279,96,233
tile=239,1993,657,192,282,96,236
tile=240,2105,1696,190,280,96,234
tile=241,0,3605,154,260,63,241
tile=242,885,3333,133,268,44,249
tile=243,154,3602,161,262,70,243
tile=244,669,3604,135,261,45,242
tile=245,0,3429,145,175,79,140
tile=246,1728,3703,121,155,60,131
tile=247,1809,149,1,1,0,0
tile=248,382,1685,190,283,96,237
